FX	FY	FZ	TA	TB	TC	JS_DIST	TRANS_DIST	ROT_DIST	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	J0	J1	J2	J3	J4	J5	J6	X	Y	Z	A	B	C	
-0.386	-1.218	1.050	-0.574	-0.068	-0.098	0.00026	0.07921	0.00015	55026	-0.387	62.731	-6.933	-13.418	0.393	-0.083	-0.051	-0.376	1.138	0.341	-1.428	-0.516	0.665	-0.751	579.806	-86.736	-135.169	-2.199	-0.000	-3.142	
2.396	2.337	0.852	-0.189	-0.439	-0.234	0.00065	1.29738	0.00042	55259	2.101	67.855	-7.075	-19.378	0.462	2.483	-0.275	-0.376	1.138	0.341	-1.428	-0.516	0.665	-0.751	580.712	-85.814	-135.055	-2.199	-0.000	-3.141	
7.269	11.668	2.414	0.263	-0.446	-0.335	0.01488	4.03267	0.00127	55541	-0.239	70.488	-8.903	-22.859	0.860	3.930	-0.314	-0.367	1.142	0.341	-1.420	-0.513	0.670	-0.747	582.501	-82.227	-135.491	-2.199	-0.001	3.141	
6.261	13.870	4.074	0.455	-0.091	-0.298	0.00061	0.40965	0.00065	55777	2.038	68.253	-6.508	-20.442	1.383	2.817	-0.097	-0.367	1.142	0.341	-1.419	-0.513	0.670	-0.747	582.846	-82.269	-135.275	-2.199	-0.000	3.141	
-0.939	3.058	1.992	-0.365	0.815	0.100	0.00620	2.75965	0.00160	56066	-0.641	62.638	-7.326	-13.486	0.588	0.232	0.118	-0.371	1.140	0.341	-1.422	-0.514	0.667	-0.749	582.011	-84.846	-134.746	-2.199	0.000	-3.140	
-1.788	-1.255	1.606	-0.467	0.662	0.117	0.00829	2.32140	0.00047	56355	0.450	63.004	-6.838	-13.392	0.504	0.010	0.093	-0.376	1.138	0.341	-1.427	-0.516	0.664	-0.751	580.490	-86.591	-134.922	-2.199	0.000	-3.141	
-1.768	-1.189	1.450	-0.427	0.660	0.120	0.00082	0.50055	0.00081	56612	0.454	62.938	-6.808	-13.354	0.500	0.008	0.181	-0.376	1.138	0.341	-1.428	-0.515	0.665	-0.751	580.093	-86.414	-135.170	-2.199	-0.000	-3.141	
-1.749	-1.295	1.537	-0.449	0.692	0.179	0.01943	0.01577	0.03489	56854	0.434	62.838	-6.837	-13.308	0.494	0.020	0.192	-0.376	1.138	0.341	-1.428	-0.515	0.665	-0.770	580.078	-86.415	-135.174	-2.164	-0.000	-3.141	
-1.445	-1.586	1.485	-0.569	0.583	0.169	0.15951	0.00823	0.17685	57143	0.480	62.910	-6.810	-13.346	0.552	0.020	0.159	-0.376	1.138	0.341	-1.428	-0.515	0.665	-0.930	580.070	-86.416	-135.175	-1.987	-0.000	-3.142	
-1.299	-1.720	1.495	-0.619	0.514	0.132	0.12834	0.00382	0.10091	57432	0.461	62.883	-6.811	-13.329	0.501	0.013	0.097	-0.376	1.138	0.341	-1.428	-0.515	0.665	-1.058	580.066	-86.416	-135.176	-1.887	-0.000	-3.142	
-1.276	-1.697	1.496	-0.610	0.495	0.111	0.00681	0.00052	0.00145	57717	0.457	62.873	-6.800	-13.332	0.498	0.004	0.091	-0.376	1.138	0.341	-1.428	-0.515	0.665	-1.065	580.066	-86.416	-135.176	-1.885	-0.000	-3.142	
-0.224	-1.591	1.166	-0.644	-0.117	-0.088	0.00001	0.25659	0.00011	57956	-0.059	63.036	-6.724	-13.616	0.415	-0.098	-0.121	-0.376	1.138	0.341	-1.428	-0.515	0.665	-1.065	580.124	-86.166	-135.168	-1.885	-0.000	-3.142	
0.145	-1.089	1.074	-0.400	-0.338	-0.154	0.01472	7.04715	0.00020	58247	-0.441	62.805	-6.973	-13.493	0.376	-0.124	-0.042	-0.365	1.140	0.341	-1.424	-0.514	0.667	-1.056	582.335	-79.475	-135.202	-1.885	-0.000	-3.141	
-0.074	-1.180	1.191	-0.414	-0.199	-0.088	0.00938	2.67582	0.00044	58533	-0.138	62.872	-6.789	-13.459	0.394	-0.139	-0.041	-0.358	1.141	0.341	-1.421	-0.514	0.668	-1.051	583.151	-76.927	-135.170	-1.885	-0.000	3.142	
0.029	-1.223	1.196	-0.439	-0.242	-0.091	0.00007	0.04173	0.00008	58787	-0.181	62.301	-6.744	-13.132	0.350	-0.192	-0.103	-0.358	1.141	0.341	-1.421	-0.514	0.669	-1.051	583.141	-76.887	-135.172	-1.885	-0.000	3.142	
0.710	-1.061	1.146	-0.408	-0.575	-0.187	0.00620	3.80820	0.00020	59032	0.116	63.181	-6.568	-13.954	0.387	-0.144	-0.157	-0.353	1.141	0.341	-1.420	-0.513	0.669	-1.047	584.297	-73.258	-135.157	-1.885	-0.000	3.142	
0.059	-1.154	1.001	-0.414	-0.278	-0.141	0.01698	6.27767	0.00033	59320	-0.207	63.033	-6.852	-13.523	0.394	-0.149	-0.099	-0.341	1.143	0.341	-1.414	-0.512	0.672	-1.037	586.329	-67.318	-135.156	-1.885	-0.000	-3.141	
0.184	-1.263	1.164	-0.470	-0.336	-0.144	0.00086	0.10196	0.00016	59563	-0.093	63.020	-6.783	-13.561	0.388	-0.142	-0.098	-0.340	1.143	0.341	-1.414	-0.511	0.672	-1.037	586.306	-67.418	-135.157	-1.885	-0.000	-3.141	
0.630	-1.076	0.989	-0.391	-0.544	-0.197	0.00007	0.29937	0.00021	59756	-0.803	64.429	-7.572	-15.665	0.351	0.829	-0.186	-0.340	1.143	0.341	-1.414	-0.511	0.672	-1.037	586.370	-67.125	-135.144	-1.885	-0.000	-3.141	
3.771	8.529	0.432	0.104	-0.454	-0.259	0.01452	6.79584	0.00143	60043	-0.448	69.344	-8.644	-21.663	0.821	3.501	-0.250	-0.330	1.145	0.341	-1.410	-0.510	0.675	-1.029	587.827	-60.496	-135.475	-1.885	-0.001	3.140	
4.395	13.100	2.783	0.465	-0.445	-0.306	0.00355	0.67730	0.00088	60287	1.074	69.953	-7.989	-22.860	1.101	4.026	-0.187	-0.327	1.146	0.341	-1.409	-0.510	0.675	-1.027	588.312	-60.040	-135.350	-1.885	-0.000	3.141	
0.801	7.503	2.167	-0.159	0.456	-0.005	0.00233	1.80957	0.00105	60570	0.372	65.090	-7.359	-15.824	0.719	1.118	0.037	-0.329	1.145	0.341	-1.409	-0.510	0.675	-1.028	588.378	-61.811	-134.983	-1.885	-0.000	-3.141	
-1.194	-1.654	1.581	-0.704	0.471	0.107	0.00872	3.25457	0.00108	60857	0.481	63.467	-6.841	-13.539	0.574	0.003	0.062	-0.335	1.144	0.341	-1.411	-0.511	0.673	-1.033	587.830	-65.011	-134.751	-1.885	0.000	-3.140	
-1.199	-1.833	1.524	-0.689	0.450	0.106	0.00126	0.85597	0.00164	61111	0.350	63.212	-6.885	-13.491	0.563	0.016	0.075	-0.336	1.144	0.341	-1.412	-0.511	0.673	-1.034	587.079	-64.906	-135.148	-1.885	-0.000	-3.142	
-1.204	-1.711	1.509	-0.598	0.489	0.178	0.00154	0.04600	0.00745	61349	0.437	63.287	-6.877	-13.533	0.492	-0.033	0.143	-0.336	1.144	0.341	-1.412	-0.511	0.673	-1.035	587.040	-64.889	-135.165	-1.877	-0.000	3.142	
-0.904	-1.805	1.555	-0.632	0.392	0.170	0.10366	0.01595	0.13089	61638	0.363	63.232	-6.858	-13.406	0.521	-0.001	0.078	-0.336	1.144	0.341	-1.412	-0.511	0.673	-1.139	587.033	-64.903	-135.167	-1.746	-0.000	3.142	
-0.715	-1.904	1.552	-0.659	0.343	0.179	0.17440	0.00400	0.15656	61924	0.407	63.264	-6.878	-13.518	0.519	-0.003	0.117	-0.336	1.144	0.341	-1.412	-0.511	0.673	-1.313	587.030	-64.900	-135.167	-1.590	-0.000	3.141	
-0.632	-1.943	1.553	-0.676	0.296	0.135	0.03454	0.00069	0.01921	62211	0.391	63.254	-6.883	-13.526	0.514	-0.005	0.112	-0.336	1.144	0.341	-1.412	-0.511	0.673	-1.348	587.030	-64.899	-135.167	-1.571	-0.000	3.141	
-0.746	-1.973	1.580	-0.687	0.342	0.133	0.00001	0.00022	0.00000	62450	-0.317	63.137	-6.938	-13.367	0.536	0.065	-0.066	-0.336	1.144	0.341	-1.412	-0.511	0.673	-1.348	587.030	-64.899	-135.168	-1.571	-0.000	3.141	
0.931	-2.337	1.303	-1.010	-0.723	-0.110	0.00645	3.82649	0.00018	62689	-0.372	63.174	-6.875	-13.459	0.592	0.109	-0.105	-0.332	1.144	0.341	-1.413	-0.511	0.673	-1.343	587.025	-61.073	-135.182	-1.571	-0.000	3.142	
0.445	-2.279	1.372	-0.964	-0.453	-0.032	0.01762	6.26763	0.00019	62975	-0.238	63.317	-6.936	-13.526	0.582	0.100	-0.002	-0.320	1.143	0.341	-1.416	-0.512	0.671	-1.330	587.112	-54.806	-135.157	-1.571	-0.000	-3.141	
0.664	-2.137	1.418	-0.906	-0.546	-0.031	0.00098	0.05485	0.00023	63230	-0.224	63.333	-6.887	-13.517	0.577	0.075	-0.001	-0.320	1.143	0.341	-1.416	-0.512	0.671	-1.329	587.127	-54.856	-135.140	-1.571	-0.000	-3.141	
0.290	-2.381	1.482	-1.028	-0.502	-0.101	0.00006	0.38293	0.00005	63487	-0.405	63.598	-6.964	-13.743	0.607	0.137	-0.097	-0.319	1.143	0.341	-1.416	-0.512	0.671	-1.329	587.145	-54.473	-135.147	-1.571	-0.000	-3.141	
1.091	-2.294	1.414	-1.031	-0.815	-0.132	0.01557	7.06658	0.00022	63774	-0.261	63.162	-6.881	-13.290	0.587	0.077	-0.066	-0.309	1.142	0.341	-1.418	-0.513	0.670	-1.318	587.126	-47.407	-135.104	-1.571	-0.000	-3.142	
0.472	-2.137	1.424	-0.888	-0.490	-0.066	0.00930	2.52014	0.00029	64062	-0.188	63.255	-6.859	-13.460	0.590	0.039	-0.052	-0.303	1.141	0.341	-1.419	-0.513	0.669	-1.311	587.169	-44.887	-135.122	-1.571	-0.000	-3.141	
0.560	-2.107	1.393	-0.871	-0.508	-0.061	0.00009	0.03575	0.00009	64302	-1.008	63.017	-7.145	-13.220	0.570	0.071	-0.091	-0.303	1.141	0.341	-1.419	-0.513	0.669	-1.311	587.189	-44.858	-135.115	-1.571	-0.000	-3.141	
1.107	-2.334	1.330	-1.050	-0.830	-0.125	0.00599	3.67413	0.00043	64543	-0.180	63.154	-6.893	-13.413	0.592	0.094	-0.109	-0.299	1.141	0.341	-1.420	-0.513	0.669	-1.307	587.034	-41.188	-135.171	-1.571	-0.000	3.142	
0.611	-2.237	1.398	-0.984	-0.551	-0.089	0.01737	6.35979	0.00007	64832	-0.274	63.199	-6.932	-13.451	0.586	0.093	-0.073	-0.287	1.141	0.341	-1.422	-0.514	0.668	-1.294	587.057	-34.828	-135.152	-1.571	-0.000	-3.142	
0.746	-2.196	1.361	-0.961	-0.605	-0.088	0.00123	0.04858	0.00009	65087	-0.277	63.121	-6.909	-13.435	0.578	0.082	-0.066	-0.286	1.140	0.341	-1.422	-0.514	0.668	-1.293	587.064	-34.875	-135.143	-1.571	-0.000	-3.142	
0.564	-2.341	1.364	-1.036	-0.613	-0.125	0.00004	0.31014	0.00004	65343	-0.730	63.152	-7.099	-13.275	0.582	0.101	-0.096	-0.286	1.140	0.341	-1.422	-0.514	0.668	-1.293	587.065	-34.565	-135.150	-1.571	-0.000	-3.142	
1.553	-2.266	1.244	-1.033	-0.964	-0.128	0.01527	7.10101	0.00019	65630	-0.620	63.255	-7.091	-13.415	0.575	0.101	-0.065	-0.276	1.140	0.341	-1.423	-0.514	0.667	-1.282	587.107	-27.464	-135.171	-1.571	-0.000	-3.141	
0.653	-2.252	1.448	-0.993	-0.565	-0.078	0.00917	2.55529	0.00016	65917	-0.160	62.950	-6.805	-13.354	0.580	0.082	-0.058	-0.270	1.140	0.341	-1.424	-0.514	0.667	-1.275	587.101	-24.909	-135.134	-1.571	-0.000	-3.141	
0.495	-2.222	1.402	-0.972	-0.502	-0.074	0.00010	0.05723	0.00011	66127	-1.239	63.033	-7.232	-13.329	0.575	0.102	-0.102	-0.270	1.140	0.341	-1.424	-0.514	0.667	-1.275	587.099	-24.852	-135.138	-1.571	-0.000	-3.141	
1.153	-2.323	1.361	-1.064	-0.848	-0.142	0.00588	3.57555	0.00014	66367	-0.721	63.018	-7.059	-13.406	0.585	0.117	-0.100	-0.266	1.140	0.341	-1.424	-0.514	0.667	-1.271	587.090	-21.277	-135.164	-1.571	-0.000	-3.142	
0.687	-2.226	1.230	-1.006	-0.603	-0.094	0.01724	6.44368	0.00014	66654	-0.358	63.000	-6.937	-13.342	0.576	0.092	-0.064	-0.254	1.139	0.341	-1.425	-0.515	0.667	-1.259	586.997	-14.834	-135.162	-1.571	-0.000	3.141	
0.728	-2.175	1.292	-0.979	-0.618	-0.090	0.00117	0.09574	0.00019	66909	-0.354	63.033	-6.910	-13.387	0.571	0.087	-0.058	-0.253	1.139	0.341	-1.425	-0.515	0.666	-1.258	587.068	-14.893	-135.136	-1.571	-0.000	-3.142	
1.017	-2.287	1.170	-1.041	-0.799	-0.151	0.00006	0.24737	0.00005	67149	-0.511	63.014	-6.856	-13.539	0.592	0.117	-0.099	-0.253	1.139	0.341	-1.425	-0.515	0.666	-1.258	587.078	-14.646	-135.135	-1.571	-0.000	-3.142	
0.677	-2.355	1.290	-1.067	-0.666	-0.129	0.01478	7.07392	0.00010	67437	-0.640	62.953	-7.013	-13.245	0.560	0.093	-0.061	-0.242	1.139	0.341	-1.425	-0.515	0.666	-1.247	587.062	-7.572	-135.114	-1.571	-0.000	3.142	
0.632	-2.215	1.182	-0.995	-0.566	-0.084	0.00942	2.67056	0.00027	67724	-0.242	63.099	-6.852	-13.378	0.570	0.085	-0.052	-0.236	1.139	0.341	-1.425	-0.515	0.666	-1.241	587.103	-4.902	-135.123	-1.571	-0.000	-3.142	
0.505	-2.234	1.259	-0.995	-0.516	-0.080	0.00006	0.03265	0.00004	67980	-0.991	63.048	-7.180	-13.309	0.550	0.097	-0.103	-0.236	1.139	0.341	-1.425	-0.515	0.666	-1.241	587.107	-4.869	-135.125	-1.571	-0.000	-3.142	
0.806	-2.287	1.267	-1.044	-0.706	-0.145	0.00606	3.77075	0.00009	68219	-0.091	62.951	-6.644	-13.376	0.578	0.069	-0.092	-0.232	1.139	0.341	-1.426	-0.515	0.666	-1.236	587.072	-1.099	-135.145	-1.571	-0.000	3.142	
0.572	-2.132	1.297	-0.956	-0.536	-0.067	0.01692	6.28987	0.00016	68506	-0.430	63.075	-6.951	-13.352	0.563	0.083	-0.025	-0.220	1.139	0.341	-1.426	-0.515	0.666	-1.224	587.044	5.191	-135.149	-1.571	-0.000	3.142	
0.634	-2.164	1.274	-0.976	-0.569	-0.067	0.00105	0.06162	0.00020	68762	-0.394	63.053	-6.909	-13.368	0.561	0.081	-0.026	-0.219	1.139	0.341	-1.426	-0.515	0.666	-1.224	587.046	5.130	-135.149	-1.571	-0.000	3.142	
0.457	-2.176	1.287	-1.002	-0.593	-0.133	0.00006	0.22076	0.00021	69002	-0.565	63.068	-6.965	-13.368	0.556	0.060	-0.120	-0.219	1.139	0.341	-1.426	-0.515	0.666	-1.224	587.046	5.350	-135.149	-1.571	-0.000	-3.142	
1.153	-1.874	1.055	-0.859	-0.840	-0.155	0.01426	6.98846	0.00021	69292	-0.712	62.969	-7.003	-13.407	0.547	0.014	-0.082	-0.209	1.139	0.341	-1.425	-0.515	0.666	-1.214	587.101	12.339	-135.157	-1.571	-0.000	-3.141	
0.582	-1.845	1.201	-0.813	-0.562	-0.105	0.00965	2.75690	0.00022	69581	-0.316	62.969	-6.841	-13.392	0.540	0.012	-0.071	-0.202	1.139	0.341	-1.425	-0.515	0.666	-1.207	587.185	15.094	-135.153	-1.571	-0.000	-3.141	
0.565	-1.806	1.221	-0.798	-0.552	-0.103	0.00008	0.05463	0.00008	69838	-1.410	62.988	-7.376	-13.381	0.507	0.006	-0.113	-0.202	1.139	0.341	-1.425	-0.515	0.666	-1.207	587.168	15.144	-135.168	-1.571	-0.000	-3.141	
1.162	-1.670	1.248	-0.744	-0.866	-0.193	0.00620	3.83477	0.00013	70094	0.027	62.996	-6.561	-13.420	0.474	-0.079	-0.130	-0.197	1.139	0.341	-1.425	-0.515	0.666	-1.202	587.129	18.978	-135.136	-1.571	-0.000	-3.141	
0.715	-1.496	1.165	-0.615	-0.585	-0.139	0.01682	6.24675	0.00019	70383	-0.484	63.048	-6.977	-13.461	0.443	-0.055	-0.078	-0.185	1.140	0.341	-1.424	-0.514	0.667	-1.191	587.057	25.224	-135.214	-1.571	-0.000	-3.142	
0.804	-1.479	1.175	-0.616	-0.623	-0.137	0.00085	0.10277	0.00021	70624	-0.461	63.016	-6.950	-13.462	0.448	-0.049	-0.076	-0.185	1.140	0.341	-1.424	-0.514	0.667	-1.190	587.113	25.149	-135.171	-1.571	-0.000	-3.141	
0.484	-1.525	1.213	-0.641	-0.589	-0.180	0.00006	0.22432	0.00009	70865	-0.548	63.104	-6.964	-13.484	0.416	-0.097	-0.131	-0.185	1.140	0.341	-1.424	-0.514	0.667	-1.190	587.111	25.374	-135.167	-1.571	-0.000	-3.141	
1.670	-1.311	1.029	-0.554	-1.023	-0.231	0.01432	7.05107	0.00010	71156	-0.707	63.051	-7.012	-13.509	0.416	-0.101	-0.086	-0.174	1.140	0.341	-1.422	-0.514	0.668	-1.181	587.099	32.425	-135.176	-1.571	-0.000	-3.141	
0.717	-1.313	1.125	-0.507	-0.587	-0.147	0.00947	2.70944	0.00018	71446	-0.401	62.994	-6.860	-13.471	0.416	-0.104	-0.080	-0.167	1.141	0.341	-1.422	-0
