TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
2.56114	0.01166	0.00014	449.304	9.910	-135.123	-1.571	-0.000	3.142	5784	0.192	52.317	-6.362	-7.299	0.570	0.159	0.113	-0.935	-1.962	1.097	-1.094	0.109	0.130	-0.277	0.993	0.355	-1.877	-0.798	0.419	-0.896	
0.04844	0.00011	0.00008	449.334	9.874	-135.114	-1.571	-0.000	3.142	6004	1.035	52.274	-5.913	-7.311	0.571	0.120	0.159	-0.912	-1.835	1.222	-0.993	0.180	0.151	-0.277	0.993	0.355	-1.877	-0.798	0.419	-0.896	
4.70273	0.01075	0.00017	449.355	5.171	-135.128	-1.571	0.000	3.142	6267	0.586	52.130	-6.353	-7.175	0.547	0.161	0.157	-1.589	-1.673	1.252	-0.848	0.529	0.212	-0.285	0.993	0.355	-1.877	-0.798	0.419	-0.904	
5.31180	0.02033	0.00010	449.287	-0.140	-135.148	-1.571	0.000	3.141	6548	0.254	52.557	-6.365	-7.270	0.549	0.147	0.111	-0.847	-1.938	1.358	-1.062	0.084	0.126	-0.299	0.993	0.355	-1.877	-0.798	0.418	-0.918	
0.03164	0.00019	0.00010	449.294	-0.110	-135.145	-1.571	0.000	3.142	6814	0.583	52.329	-6.148	-7.267	0.550	0.132	0.122	-0.846	-1.906	1.171	-1.027	0.113	0.122	-0.299	0.993	0.355	-1.877	-0.798	0.418	-0.918	
2.72108	0.00457	0.00001	449.292	-2.831	-135.144	-1.571	0.000	3.142	7063	0.223	52.293	-6.495	-7.267	0.454	0.123	0.160	-1.614	-1.627	1.606	-0.752	0.572	0.187	-0.303	0.993	0.355	-1.877	-0.798	0.418	-0.921	
6.85201	0.02260	0.00037	449.470	-9.680	-135.099	-1.571	0.000	-3.141	7347	0.325	52.079	-6.217	-7.260	0.404	0.119	0.095	-1.335	-1.395	1.404	-0.651	0.459	0.102	-0.319	0.993	0.355	-1.877	-0.798	0.418	-0.937	
0.37816	0.00448	0.00017	449.489	-10.058	-135.101	-1.571	0.000	-3.141	7593	0.258	52.197	-6.305	-7.329	0.431	0.120	0.095	-0.960	-1.641	1.364	-0.837	0.224	0.085	-0.322	0.993	0.355	-1.876	-0.798	0.418	-0.941	
0.37089	0.00012	0.00004	449.481	-10.429	-135.101	-1.571	0.000	-3.141	7843	0.446	52.395	-6.411	-7.326	0.289	0.051	0.167	-1.184	-1.266	1.601	-0.549	0.418	0.146	-0.322	0.993	0.355	-1.876	-0.798	0.418	-0.941	
6.93105	0.01965	0.00028	449.357	-17.359	-135.114	-1.571	0.000	-3.142	8123	-0.895	52.342	-7.121	-7.063	0.222	0.045	0.151	-2.287	-0.904	2.170	-0.193	0.994	0.133	-0.335	0.994	0.355	-1.876	-0.797	0.419	-0.955	
2.68643	0.01248	0.00010	449.423	-20.044	-135.130	-1.571	0.000	-3.141	8404	0.301	52.271	-6.362	-7.318	0.249	0.013	0.072	-0.991	-1.115	1.526	-0.432	0.331	0.031	-0.344	0.994	0.355	-1.875	-0.796	0.419	-0.964	
